;;;Local availability;Exterior availability;Direct and indirect emissions for local resource;Price for local resource;
;;units;[GWh/y];[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];
Category;Subcategory;parameter name;avail_local;avail_exterior;gwp_op_local;c_op_local;Comment
Renewable;Biomass;WOOD;6270;10000;0.0118;0.016980597;
Renewable;Biomass;WET_BIOMASS;309.4143623;0;0.0118;0.010318121;
Non-renewable;Other non-renewable;WASTE;0;0;0.1501;0.021187834;
Non-renewable;Fossil fuel;GAS;17856.78849;10000;0.2666;0.010662519;
Non-renewable;Fossil fuel;GASOLINE;921.4370961;10000;0.3448;0.124118331;
Non-renewable;Fossil fuel;DIESEL;10000;1504.470679;0.3148;0.111311495;
Non-renewable;Fossil fuel;LFO;10000;1.4954808;0.3115;0.085115655;
Non-renewable;Fossil fuel;LPG;4046.95798;10000;0.28360908;0.021578745;
